exact grouped/pairwise moment audit passed E 10
interval LDL row E 10 1 336
interval LDL row E 10 11 336
interval LDL row E 10 21 336
interval LDL row E 10 31 336
interval LDL row E 10 41 336
interval LDL row E 10 51 336
interval LDL row E 10 61 336
interval LDL row E 10 71 336
interval LDL row E 10 81 336
interval LDL row E 10 91 336
interval LDL row E 10 101 336
interval LDL row E 10 111 336
interval LDL row E 10 121 336
interval LDL row E 10 131 336
interval LDL row E 10 141 336
interval LDL row E 10 151 336
interval LDL row E 10 161 336
interval LDL row E 10 171 336
interval LDL row E 10 181 336
interval LDL row E 10 191 336
interval LDL row E 10 201 336
interval LDL row E 10 211 336
interval LDL row E 10 221 336
interval LDL row E 10 231 336
interval LDL row E 10 241 336
interval LDL row E 10 251 336
interval LDL row E 10 261 336
interval LDL row E 10 271 336
interval LDL row E 10 281 336
interval LDL row E 10 291 336
interval LDL row E 10 301 336
interval LDL row E 10 311 336
interval LDL row E 10 321 336
interval LDL row E 10 331 336
certificate E 10 width 8186686114160509/1000000000000000000000000 seconds 353.160532375
